job_title,company,location,salary,description,job_url_result
Data Governance Analyst,Genworth,Sydney NSW,,"Summary 
The Data Governance Analyst is accountable for improving data governance throughout the enterprise. The Data Governance Analyst will partner with enterprise wide leaders to drive Genworth Australia’s strategy through developing and establishing standards, building healthy cultures to raise awareness and responsibility concerning data governance, and coordinating information and data between departments. The Data Governance Analyst must act as liaison, communicating through reports, meetings or memos the best use of data in each department from business owner, to IT, all the way to the customer. 
Responsibilities 
The main responsibilities include: 
Manage Data Risk 
Maintain enterprise compliance to Australian Prudential Regulation CPG235 Managing Data Risk (September 2013) 
Ensure important data assets are formally logged and managed 
Drive greater reporting controls and quality 
Adhere to the compliance obligations relevant to the position; perform duties in an ethical, lawful and safe manner; undertake training as directed by the Compliance Leader; report and escalate compliance concerns, issues and failures; and disclose potential conflicts of interest 
Coordination / issue follow through as part of Enterprise Risk Management 
Work with Data Owners, business owners and data asset owners to assess data risk and issues, problem solve and to build consensus on next steps 
2nd Line of Defence 
Ensure manuals and frameworks are up to date and followed: e.g. Data Management Framework, DMO manual, AA manual. 
Own the testing of data governance policies, procedures, and operational data controls to ensure compliance by data providers and consumer (2nd LOD) 
Make individuals (e.g. Data Owners) accountable for adverse events arising from low data quality 
Support the existing governance around sharing of data, particularly around lost or subjected to unauthorised access, modification, use or disclosure or other misuse 
Maintain the Data Governance Frameworks and their implementation whilst supporting the creation of new relevant frameworks for our business 
Support Information, Technology, Security & Risk Council (ITSRC) objectives 
Coordination of process for the proposal and ratification of Authority and Data Ownership (Enterprise Business Data Model and glossary) 
Implement the Data Education and Awareness program 
Quality 
Ensure data can be trusted (i.e. is of good quality) by supporting and driving the Data Quality program of work by 
Working with data stewards and SMEs to define data quality rules 
Use technical skills to develop/prototype data quality rules for implementation 
Educate our business and establish processes to identify, fix and prevent data related issues, making the Enterprise more efficient and driving real dollar savings 
Support the development, analysis and maintenance of metrics for measuring adherence and improvement of data governance policies. 
Tools / Reporting 
Data Governance Dashboards: Maintain, update (on a monthly basis) and expand the existing dashboards. 
Track and provide oversight of data issues through to resolution 
Drive the implementation of an augmented data catalog 
Core Competencies 
Ability to work collaboratively across all business groups to develop and execute the department strategy to meet business goals and objectives. 
Demonstrate strong communication skills with a diverse audience (from operations – executive level – customer). 
Have an inquisitive and analytical nature 
Possess the ability to work through ambiguity to drive towards results 
Be a community builder who develops relationships and manages expectations 
Ability to align assigned work to business, IT and Data Strategy 
Most Frequent Contacts 
Internal 
Legal and Compliance 
IT Governance and Security 
Enterprise Risk 
Data analytics community (Operations, Risk, Finance) 
Business Systems teams (Information Technology) 
Key personnel across the policy lifecycle (Operations, Underwriting Risk, Finance, Strategy & Innovation, Commercial) 
External 
Data and other vendors 
Customers (Lenders) 
Qualifications – Required 
At least 3 years in a governance role 
At least 2 years’ experience of working in financial services (financial services/banking/ insurance) 
Strong data / business analysis skills 
Understanding of Datawarehouse and Reporting systems. 
Understanding data lineage and business pseudocode. 
Strong SQL (or similar) and data interrogation skills – needed to fast track data quality rules and implement tolerance measures over various fields. 
Must be detail orientated/articulate with strong time management and organizational skills 
Effective leadership experience, including ability to balance team and individual responsibilities, and get things done through others not directly under position’s supervision and work ethically and with integrity. 
Hands-on experience supporting an established enterprise data governance/remediation program 
Experience working with APRA banking or financial standards 
Demonstrable appreciation of application / process inter-dependencies within functional area/s 
Project leadership and management skills to lead organizational change to effectively meet strategic and tactical goals 
Understanding (and ideally experience of) the challenges and benefits of implementing a data governance and/or quality program 
Strong networking & influencing skills 
Qualifications – Desired 
Experience with a data catalog 
Experience with a data profiling tools",http://au.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DveHtaohNZTTr4NJ6iQ6LvBAugsddynFItxJfHbw6F-O3gQvnLG9-eGsy0TvdastQwoXMm3zZlpknmjO1mXqb7TbwaAWLY9MRV1rkEwLC9dXSf9STsXdWhE1LEyRW5TaVrBmP7p5mJKpl_gn3pov9IVesO5m5TNEe4jQp8BDvl03sZVBWrxM3_AbaoG6_C2_TdDqMj4ReeXGTt3J8rQ6GMwImSU_QMwVknkC4GtMrrZClOnZBVJoOs2BIgHABOCMAGSZnYbOpGqdD6MzZLO7-pDaXQwv5UdyKbHvUTKCjG2k5h83hQPqGXKBDUxZC0EaUXqPd3YBEYqlwb_TjmE5i64CS6tyCSbfDZj5N34zNtUt2E0yJEkwGENIlZZKo1yji0vF3qlDUsHx6TyaNOLtDt4WbFntO2W8nBQiY-NC7Rth3b1ABOLJkU3A2MQGufunI=&p=0&fvj=0&vjs=3
People Systems Data Reporting Analyst,Lion,Sydney NSW,,"We have an exciting opportunity for an experienced individual to join the team. This is a permanent, full time role base at our Sydney Olympic Park office reporting to the People Systems and Reporting Leader. Lion Flex is available for this position – meaning you can work from home or other locations. 
This role is responsible for providing reporting to the business on behalf of People Services e.g. P&C, Finance and across all BU’s. You will act as an advisor and Business Partner to relevant BU’s to understand their needs and provide reporting solutions and capability. 
Key accountabilities include: 
Create & run standard BAU people data reporting based on a clearly defined reporting schedule 
Continuously improve how we do things, automate where possible and work to reduce the number of adhoc reporting requests received 
Perform data integrity reporting within SuccessFactors & SAP and highlight data issues found to appropriate team for resolution 
Maintain ongoing self-understanding and team capability on H2R systems as well as proactively engaging with external market 
Develop, implement and monitor data standards across the H2R landscape 
Act as the Data Custodian for H2R to ensure data impacts are monitors and understood across People Services as the maintainers of people data 
We are looking for someone with strong HR/Payroll reporting experience (preferably Spinifex), along with preferred experience in SAP HCM, SuccessFactors and Fieldglass. You will be experienced in analytics tools – preferably Power BI. Your strong business partnering, coaching and communications skills will help you to succeed in this position. 
We’re proud of our diverse workforce, acknowledging our people for the unique individuals they are. When it comes to flexibility, we understand that one size doesn’t fit all. Our flexible working program, LionFlex enables us to work in ways that support our lifestyle to help us balance our career with the other important things in life. 
Empower yourself to achieve - start a conversation with us today.",http://au.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6X6E7q_eCV_S7ViPJW3zi8RGDzMI-Dp9Vf8vt2biP40H8IU0Gx0LgfA9GJ4NH85yd43LNNT1Inr_eAY8JVsqg2RRPya93gK4X7rJ4zUPsMA5mMBNujn9eJ1zKwcK2Oo6OT7-NGVDoXcfDVSRy7hVVAwaN1KS0ssxupt9ySS3GsUGKRVuT-DMckVDpayqLy1LGYj6mNQUiz9MN7YL58mciBeNJyogu0IkqaUo1uh7rl2ZaZefmKMObLVFTQjl4QIIYTFdWoKIeXs-BdMskUhLucXqRDDX57HQDDzEAAKNNd5RHPmJ8IRuPVL8gDD8sIP8jbf73wJn0SOFgmkLEGJLJa5IXD1QNoxSgwMiLhwyqLPSY_qAjxTQM_D5-vrBirCzhAizHJuvAQp2t8RExQ-Oum9AVcKkcj_On__6CyDm2aQdtW4NOhzjFvWfbPVFCR4-uqQS0zHFbByezhKvWngk5P_-4TuZYf724kA5khaP_rVmXdPCy2TDXLVWdNLS_JREbz67CR44ABAzHOJeV_13063Xnv20spR_Ugy36ru1EmG_m5hI0JXKolWZYQXBX4VjRL9pHASkJ3yoMvPfW_HnHPVDGIiPy7bIzbJTMBWm_ThwgIca5-1MehK2WX12hx9HKLMHw5rD2WyDJAuCGhgaiR8HKDR9Ese1KWaA6_eN4zekgVl9jQxqJCrPXhSHdwc0HN5jleLD3XU30io3kwTPzkeZJsGZi9CBWrx8vOiM8TvCkAasCibw3&p=1&fvj=0&vjs=3
Junior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,,"The International Institute of Data & Analytics (IDA) is a not-for-profit hi-tech organization with foci on data science and big data analytics innovation, education and training, and commercialization and services. IDA offers unique experiences and engagement models for bridging the gaps between academia and business, enabling industry and government `easy to do business with’ leading scientists and specialists in data & analytics, and building a platform for engagements and collaborations between outstanding researchers, practitioners and educators. 
 
In data science and big data analytics, the IDA creates enablers for: 
 
 Leading the field of data science and analytics innovation, training and services by building think-tank and thought leadership, and next-generation of data scientists and professionals; 
 transforming excellent research and innovation outcomes to actionable data science and analytics systems, tools, services and training for industry innovation and transformation; and 
 building a flexible and engaging culture and platform to connect local, regional and global resources in data & analytics research and business towards developing world-class centre of excellence and research networks. 
 You shall find the IDA team very self-motivated, high standard and forward thinking focused, and highly hands-on. 
 
Responsibilities 
 
 Collaborate with team leader and senior data scientists, as well as clients and internal stakeholders to understand and document their business requirements, problems and objectives. 
 Understand data structures and business and extract and integrate required data sources for analysis according to business requirements. 
 Develop and evaluate data analytics models, algorithms, systems and solutions, including undertaking data extraction, pre-processing, modeling, evaluation, deployment, and maintenance. 
 Collaborate with senior data scientists and team leader and clients to productise and pilot analytical models for production and insight per clients required. 
 Undertake cost-benefit, forecasting and impact analysis by effective presentations of data-driven findings to clients and stakeholders. 
 Document and communicate all relevant work and work outcomes. 
 
 Qualifications 
 
 Solid background, knowledge and capabilities in statistics, mathematics, computer science, informatics, computing, or closely relevant scientific field. 
 Experienced in data-driven analytics hands-on experience with deep know-how of predictive modeling, machine learning and data mining, and relevant modeling approaches and algorithms. 
 Demonstrated capabilities to develop and evaluate statistical analysis and modeling algorithms and apply these algorithms for data-driven solutions to problems in new domains. 
 Demonstrated knowledge of SQL (data extraction and manipulation), expertise in SAS programming, and software development skills in one to several scripting languages (Python/R). 
 Demonstrated capabilities to communicate and engage with a range of stakeholder groups and technical project teams. 
 Demonstrated capabilities to work effectively as a member of a data science project team. 
 Demonstrated experience for independent problem-solving and self-motivated innovation, education and services. 
 Contact : Jinjiu.Li@idawise.com",http://au.indeed.com/rc/clk?jk=5c172b03ffbfed14&fccid=52628ad139cbe5e1&vjs=3
Data & Visualisation Analyst,HSBC,Sydney NSW,,"Some careers have more impact than others. 
 If you’re looking for a career that will give you plenty of opportunities to develop, join HSBC and your future will be rich with potential. Whether you want a career that could take you to the top, or simply take you in an exciting new direction, HSBC offers opportunities, support and rewards that will take you further. 
 As an HSBC employee in Australia, you will have access to tailored professional development opportunities and a competitive pay and benefits package. This includes market leading subsidised private health cover, enhanced parental pay/benefits and support when you return to work, wellness days and wellbeing programs as well as a highly flexible workplace culture. 
 
We are now looking for a Data & Visualisation Analyst to join the team and support the Wealth & Personal Banking (WPB) business in achieving the strategic and tactical data and information needs. This role sits within the Data & Analytics team and is responsible for the development, delivery and maintenance of the SAS platform for reporting, analytics, campaigns and triggers. 
 Your main responsibilities will include: 
 
 Delivery of high quality reporting, dashboards and ad hoc data extracts for business stakeholders across frontline sales, digital, business risk and product
 Interrogation of complex and disparate data sources
 Development of efficient and effective automated data processes
 Ensuring consistent, accurate and fluid delivery of data across the WPB business 
 Qualifications 
 To be successful in this role, you will bring: 
 • Relevant commercial experience in building and maintaining SAS datamarts to support business intelligence.
 
 Experience delivering a variety of ad hoc extracts, self-service visualisation, and complex automated reporting for business stakeholder.
 Proven experience in process and analysis of large amount of data using one of: Python, R, SQL or SAS; on environments such as AWS, Google cloud or Hadoop.
 Strong dashboard software skills such as Qlikview / Qliksense and Tableau.
 Exposure to Cloud technology.
 Confident and articulate when communicating with business users, analysts, developers, DBAs and business stakeholders. 
 You’ll achieve more when you join HSBC.
 www.hsbc.com.au/careers 
 
 
 HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website. Issued by HSBC Bank Australia Limited. 
 
 HSBCCSS",http://au.indeed.com/rc/clk?jk=e82ccf3d08dce7d9&fccid=04c9b139c84ea1b5&vjs=3
Data Modeler/Data Analyst,Carecone Technologies,Canberra ACT,,"(AUSTRALIAN CITIZENSHIP with BASELINE / NV1 CLEARANCE is a MUST) Key Requirements: -- Experience with Stats/Math Model -- Expertise in Data Modelling: Conceptual, logical (Entity Relationship) and physical data modelling. Data models review with both IT and business audiences, communicating how the model meets requirements of both existing projects and the overall information architecture and strategy and any relevant deficiencies and gaps. -- Experience in data analysis and modelling against transactional and analytical systems. --Experience in the use of data modelling tools and the management of data modelling repositories and solutions. Job Type: Contract",http://au.indeed.com/company/Carecone-Technologies/jobs/Data-Modeler-Data-Analyst-e649936679c7cc63?fccid=9ff81aef3d015d33&vjs=3
"Financial Crime Analyst, Data Reconciliation",Westpac Group,Sydney NSW,,"Play a key role supporting the compliance program 
Opportunity to work closely with key stakeholders 
Options for flexible working 
 
How will I help? 
 
This newly formed team will take responsibility for the management and timely actioning of data reconciliation alerts to ensure the completeness and accuracy of key financial crime processes. You will support the team and work closely with a range of stakeholders across the business to drive awareness of the criticality financial crime data and provide high–level analytical support with the remediation of data issues. 
 
What’s in it for me? 
 
You’ll play an important and significant part in the future of a business that has been around for 200 years. Our vision is to become one of the world’s great service companies. So, we’ll back you in the development of your career, with internal career prospects and flexible working. You’ll also be backed by a fantastic team of people in a can-do, supportive structure. 
 
What do I need? 
 
Ideally you will have a good understanding of AML/CTF, or Sanctions processes coupled with experience in transactional alert handling processes. You will have good analytical and problem-solving skills and the drive to further develop your skill set. Alongside this you should have the ability to work in teams on high level projects and independently on discreet assignments. 
 
What is it like to work there? 
 
As well as good pay and a great culture, joining the Westpac family means you’ll get some of the best banking, wealth and insurance benefits in the market. We back our employees by helping them work towards industry-recognised qualifications, using online learning, training modules and career planning tools for you to grow with us. We’ll even pay you to do volunteer or community work. As an equal opportunity employer, we’re proud to have created a culture and work environment that values diversity and flexibility – and champions inclusion. 
 
How do I Apply? 
 
Start here. Just click on the APPLY button. 
 
As part of our commitment to creating a diverse and inclusive workplace, this role is open to experienced candidates seeking a discussion around workplace flexibility. We invite candidates of all ages, people with a disability and Indigenous Australians to apply. 
 
Brand   :  Westpac Group 
Job   :  Credit Risk & Audit 
Primary Location   :  AU-NSW-Sydney CBD 
Employee Status   :  Permanent 
Schedule   :  Full-time 
Recruiter   :  Paul Burch 
Posting Date   :  06/04/2020, 6:12:44 PM 
Closing Date   :  17/04/2020, 8:59:00 AM",http://au.indeed.com/rc/clk?jk=c32a100432ae626b&fccid=3fd7e618c83b6346&vjs=3
Data Analyst,FinXL,Sydney NSW,,"Location: 
SYDNEY
 
 Job Type: 
Contract
 
 Specialisation: 
Banking & Financial Services
 
 Reference: 
(PL)48954
 
The Senior Data Analyst will be allocated to the Design and Distribution Obligations (DDO) project. A 12-18 month engagement is on offer, along with an enticing arrange of benefits, is available for the successful applicant. Client is a large consumer banking insititution.
 
 Mandatory experience: 
Data extraction for reporting
 
Expert in excel – macros, micros, etc.
 
Mapping data systems
 
Data Modelling
 
SQL scripting
 
Gap analysis
 
 Ideal experience includes exposure to one or more: 
Financial Services experience
 
ASIC reporting
 
Data profiling
 
Informatica
 
Tableau as a dashboard
 
 Behaviours: 
Positive Outlook
 
Emotional Intelligence
 
Growth mindset
 
'Outside the box' thinking
 
Strong data mindset
 
 Who we are: 
FinXL IT Professional Services is an established, innovative Australian company, providing technology enabled business solutions and consulting services across a number of industries. These include; Government, Telecommunications, Commercial and Finance. We currently have more than 1,200 consultants assisting our clients across Australia and are continuing to grow at a rapid pace. Through the delivery of services and implementation of new systems, processes and technology, we assist our clients to gain competitive advantage and reach new heights.
 
If you are interested in this role, please apply now. Due to the number of applicants, only those whom are shortlisted will be contacted. We appreciate your consideration. Job code S22.",http://au.indeed.com/rc/clk?jk=d7b5eba89b09cb57&fccid=ac03a1f83ad84e54&vjs=3
Junior Data Analyst (Contract),Veeva Systems,Sydney NSW,,"At Veeva, we build enterprise cloud technology that powers the biggest names in the pharmaceutical, biotech, consumer goods, chemical & cosmetics industries. Our customers make vaccines, life-saving medicines, and life-enhancing products that make a difference in everyday lives. Our technology has transformed these industries; enabling them to get critical products and services to market faster. Our core values, Do the Right Thing, Customer Success, Employee Success, and Speed, guide us as we make our customers more efficient and effective in everything they do. 
 
The Role 
 
Veeva OpenData helps clients better manage and improve the quality of its customer (healthcare professionals and healthcare organisations) master data. To be able to do so, the Analyst supports data services projects in all operational aspects of an OpenData Delivery customer engagement. 
 
The Analyst is responsible for assisting with the end to end implementation of an OpenData Delivery project. This includes design, development, integration, testing, data match and load. The Analyst interacts with various levels of customers and Veeva team members in developing and following proper process that meet the customer data project requirements. The Analyst coordinates the efforts with internal teams and takes accountability for the overall project timelines. 
 
The Analyst also plays a large role in supporting OpenData Delivery customers on a day to day basis and managing customer expectations for each project, as well as managing releases of OpenData enhancements. 
 
As a member of the Veeva OpenData APAC team there will be interactions with cross functional teams for the successful delivery of assigned projects and ensuring customer success. 
 
This is a 6-month part time contract. 
 What You'll Do 
Support OpenData Delivery projects from conception to completion within scope and on time. 
Assist with the management of customer relationships, provide secondary support to the customer during project implementation, post-implementation support and maintenance, acting as a subject matter expert of Veeva OpenData Delivery offering. 
Design, develop and test CRM and MDM integration solutions as well as successful deployment to ensure project success. 
Implement automated data collection and validation processes 
Analyse and perform data matching, cleansing, validation and load on incoming customer data by using/developing ETL processes for automated workflows. 
Create project documentation and create functional specifications for internal/external stakeholders. 
Create project status reports and provide updates to key stakeholders 
Provide day to day Veeva OpenData support to both internal and external customers 
 Requirements 
Degree qualified in Computer Science or Business IT or Information Systems 
At least 1 years in CRM development and implementation, SaaS Salesforce experience preferred 
Good communication skills 
Good English skills 
Ability to work with customers and team members based in different regions and time zones 
Highly organized, advanced planning and analytical skills. 
Ability to perform in high demand matrix team-based environment 
Extensive experience working with relational databases and the SQL language i.e. MS SQL Server, MySQL, PostgreSQL, and Analytical/Database Tools 
Experience in analysis query language like PowerQuery or DAX, and reporting tools such as Tableau. 
Experience in a scripting language (Python, R, Perl, Ruby, etc.) 
Experience and understanding of ETL concepts 
Proficiency working with data to identify trends and anomalies. 
Experience in project management 
Ability to self-manage multiple simultaneous projects 
 Nice to Have 
Understanding of Master Data Management and systems. 
Experience with medical and life sciences related industries referred 
Knowledge of medical terminology and data quality and compliance standards within the life sciences industry 
Experience with Veeva CRM and/or Veeva Network 
 Perks & Benefits 
Coffee, fresh fruits and snacks 
 Veeva’s headquarters is located in the San Francisco Bay Area with offices in more than 15 countries around the world.",http://au.indeed.com/rc/clk?jk=4834571a8f62137e&fccid=353eb997fc901045&vjs=3
Data Analyst,Servian,Sydney NSW,"$70,000 - $100,000 a year","Who are we? 
 
Servian is the largest privately owned data consultancy in Australia. We embrace innovation and change, and the positive impact it has for us and our clients. All roles at Servian involve personal and technical development and career growth, so speak to us about how we can work together. 
 Our business focuses on Data and Automation in the following pillars: 
Cloud & Technology  - Cloud Services (AWS, Azure, Google Cloud Platform), HashiCorp. 
Data & Analytics  - BI/DWH, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. 
Digital  - Full stack Development, UI/UX Design, Mobile Development 
Customer Engagement  - Marketing Campaigns, Campaign Analysis, Customer Insights 
Artificial Intelligence  - Natural Language Processing, Computer Vision, Machine Learning, Deep Learning. 
Cyber Security  - DevSecOps, Penetration Testing, Multi-Cloud Security, Security. 
 Typical Responsibilities: 
Advise on data analysis and visualisation approaches and strategies. 
Implement solutions for the establishment of data analysis capabilities including data access, data wrangling and transformation and data analysis and visualisation. 
Deliver a data analysis over a diverse range of data sources and formats, including structured, multi-structured and unstructured. 
Guide the interpretation and communication of results of data analysis, making recommendations to stakeholders of varying levels of data literacy. 
Collaborate with system owners, data providers, analysts, managers and various other stakeholders to data projects. 
Manage your time, the team, the stakeholders and the engagement, to deliver the data management capability. 
Support pre-sales activity to promote Servian, our capabilities and value to current and prospective clients. 
 Capabilities & Experience: 
Strong analytical thinker and problem solver with thought leadership and commercial awareness. 
Strong knowledge of SQL, P/SQL, databases, integration, master data management, quality assurance, data wrangling and data governance technologies. 
Sound understanding of data structures, data modeling and data optimisation techniques. 
Ability to analyse large, complex datasets from diverse sources, structures and formats. 
Ability to articulate highly technical concepts and insights, in a way that can be understood by stakeholders of varying degrees of technical literacy. 
Collaboration skills and understanding of business challenges & drivers. 
Knowledge of Cloud environments are desirable, including Google, AWS and Azure. 
Awareness of AI and ML technologies and principles are desirable. 
 Wellbeing & Benefits: 
Access to a wide range of internal training sessions, across both technical and consulting skills. 
Sponsored certifications across all our partner technology vendors. 
We provide employees with Life, Salary Insurance and access to an Employee Assistance Program. 
We are proud to have a sociable workplace that values diversity and celebrates achievement with multiple company-wide, social and family events throughout the year. 
Fun Fridays in the office with food, drinks and entertainment. 
 Inclusion & Diversity 
Servian recognises individual differences and welcomes people from a variety of life and work experiences. The diversity of our people is core to our ability to innovate, grow and to fulfil our collective aspiration of helping people to own their tomorrow. A natural curiosity, a respect for differences and a growth mindset are valued at Servian. 
 If this sounds like you, please send us your CV! 
 
Salary $70,000 - $100,000. 
 
 Posted 21/01/2020",http://au.indeed.com/rc/clk?jk=60ee9919dcfb1e71&fccid=93e5617653014982&vjs=3
APS 5 - Data Analyst,Department of Agriculture & Water Resources,Canberra ACT 2601,"$73,299 - $80,410 a year","APS 5 - $73,299 - $80,410 
 7 London Circuit, Canberra City ACT 2601 
 Contact Officer: Jacqui Vandenbroek on (02) 6272 3518 
 Who we are 
 
Biosecurity Plant Division provides a contemporary, responsive, sustainable, intelligence-led and science-based plant biosecurity system that protects Australia's plant health status. The work of the division supports agricultural productivity, competitiveness and market access for plant and plant product imports and exports. The division pursues new market access for Australian exporters, particularly opportunities arising from finalised free trade agreements. The division conducts plant pest and disease risk analyses, develops and implements risk mitigation measures and works collaboratively to strengthen Australia’s plant pest prevention, preparedness and response capabilities both within Australia and regionally. 
 
The Plant Import Operations Branch contributes towards the maintenance of the favourable plant health status of Australia as well as the maintenance of market access by coordinating the implementation of national technical operational plant quarantine policy which is consistent with international and national obligations; monitoring of pathways, the technical assessment of import permit applications and the issuance of import permits for imported plant and plant material; developing and verifying compliance with operational policy, procedures and standards; providing consistent and science based technical advice to staff, clients and stakeholders; and the facilitation of safe importation of plants and plant materials. The branch is committed to continuous review and improvement and adopting best practice, including using risk-return principles and project management principles. 
 
The Biosecurity Assurance Program (BAP) identifies, develops and implements business assurance processes for the branch to ensure import conditions are fit for purpose, biosecurity risks are managed and business outcomes are achieved. The program is responsible for managing, reviewing and developing training and instructional material for plant import activities, identifying opportunities for risk-return on plant import pathways, including expanding the Compliance-based Intervention Scheme (CBIS), analysing and interpreting import data to inform non-compliance action and business decision making, reviewing intelligence sources to inform changes in policy and processes, managing legislation updates, performing pathway verification activities and supporting a number of other business improvement processes. 
 
 The Job 
The main duties of the role include, but are not limited to: 
 
 under guidance, working with complex datasets and understanding their limitations for the respective task at hand assisting with the preparation of reports and other data summaries using SQL, R and Latex
 assisting with the implementation of new data policies and processes supporting the evaluation and implementation of risk-based intervention approaches undertaking reporting activities using existing analytical tools and templates assisting the branch to monitor and respond to a range of import enquiries
 engaging with a range of internal and external stakeholders. 
 
Knowledge and experience 
 Practical experience using R and/or SQL. Relevant experience working in a biosecurity area and an understanding of the operational context in which plant biosecurity operates would be an advantage. 
 
Skills and capabilities 
 Document preparation skills using Latex, and experience using Power BI for data visualisation would be valuable. A high level of attention to detail when working with data to assess data characteristics and suitability for tasks; and an ability to routinely evaluate the intent and accuracy of script outputs. Advanced skills in Excel (pivot tables) is highly desirable. Ability to problem solve and identify data anomalies in summaries and reports. The ability to communicate clearly, both in writing and verbally, and listen to, understand and adapt your communication style to suit the audience. Demonstrated ability to work effectively in a team environment whilst building and sustaining collaborative relationships. The ability to resolve routine tasks and determine when to seek advice on more complex problems. Demonstrated sound judgment when interpreting trends or patterns from complex datasets. 
 
Eligibility and requirements 
Citizenship - To be eligible for employment with the Department of Agriculture, Water and the Environment you must be an Australian citizen. 
 
 Pre-employment Check  - Your suitability for employment will be assessed through a pre-employment screening process. This process includes a requirement to undergo and satisfy a National Police Check, referee checks, character clearance and where required a pre-employment medical assessment, specified mandatory qualification(s) validation and a probation period of 6 months.
 
 
 MSIC and ASIC Licences  – If the position requires unescorted access within an aviation or maritime security zone, you will be required to obtain and maintain an Aviation Security Identification Card (ASIC) or Maritime Security Identification Card (MSIC). 
 
The successful applicant must: 
 
 meet Department of Agriculture health and security requirements note that they may be required to perform occasional out-of-hours and weekend work. 
 Duty Statement Opens in new window",http://au.indeed.com/rc/clk?jk=bcb9cd6cbf4a25e7&fccid=07de29b5e77ac475&vjs=3
